ID,기록일시,내식물ID,내식물이름,내용,노트태그,생장단계,성장스냅여부,공개여부,할일여부,완료일시,이미지수,이미지목록,생성일시
312877,2025-08-23 11:18,48239,산세베리아,"분촉 후 분갈이
무비상토라서 오스모코트 8g
나중에 미량원소 챙겨야됨",,,false,false,false,,0,,2025-08-23 11:18
311373,2025-08-18 19:57,57853,드라세나 수르쿨로사 밀키웨이,"분갈이 하면서 지지대 필요
분촉 가능하면 분촉",비료필요|분갈이필요,,false,false,false,,0,,2025-08-18 19:59
308442,2025-08-09 15:37,115060,스킨답서스 실버 히어로,"새 식물을 추가했어요! 🪴 스킨답서스 실버 히어로, 스킨답서스 실버히어로",,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/NTIgJs9Ni8NXL4b3QOt6ZxNNB7AKNCno_819B5D98-2EE7-4233-A3BB-487F32C445C5.jpg,2025-08-09 15:37
308441,2025-08-09 15:33,115058,,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/rWNPcYoNCkxQAm27Od48UgntPPWTtdqC_FF296262-A222-43A2-8BC7-84D9AD5AF68A.jpg,2025-08-09 15:34
304371,2025-07-27 21:10,105872,,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/iPcaOMHVGSZGmoysRJSRQHnlbd6fPipi_275962AB-2E2C-4C34-9E90-664F43C812BF.jpg,2025-07-27 21:10
299726,2025-07-15 07:34,48239,산세베리아,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/uy1aRkwnMkqSpmhBN8rrpcLGtU0sduGm_AA923346-AEC4-4BF4-B140-E972D0C0C34E.png,2025-07-15 07:34
299264,2025-07-13 23:51,90085,,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/kejGDdqfnbOcSvMPv4CHcZFyP23dXmrY_E1DA1816-10FD-49AB-A8A4-00D591587AAD.png,2025-07-13 23:51
299262,2025-07-13 23:50,72954,필로덴드론 버럴막스,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/UugiETGz6vP5Y7YCtdiwqX3oefTFQdRa_A78039FE-E14C-4D61-B52C-F7C75517D908.png,2025-07-13 23:50
299261,2025-07-13 23:49,48232,필로덴드론 옥시카르디움 브라질,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/tpNyDNzdQrobgrgYS5nFBYIwFqXbIHTg_AFEF3D17-D3C5-415A-B4E2-38FB6D4A20B8.png,2025-07-13 23:49
299260,2025-07-13 23:47,70319,싱고니움 레드스팟 트리컬러,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/EhNlclb61LR9EE8TgYQAVHJ0aVmvLzLq_EE76A73F-86A2-4483-961F-E9894D25EBA9.png,2025-07-13 23:47
